"id";"fname";"lname";"email";"amount";"view"
"1";"Priyanka";"Chopra";"priyanka.chopra600@gmail.com";"200000";"One-Time"
"2";"Anushka";"Sharma";"anushka.sharma999@gmail.com";"60000";"Monthly"
"3";"Virat";"Kohli";"viratkohli7@gmail.com";"90000";"Monthly"
"4";"Debarshi";"Das";"debarshi.das@gmail.com";"50";"Monthly"
"5";"Amrit";"Sen";"amrit.sen@gmail.com";"30";"One-Time"
"6";"Sayan";"Roy";"sayan.roy@gmail.com";"30";"One-Time"
"7";"Kiara";"Advani";"kadvani127@gmail.com";"300000";"One-Time"
"8";"Amitabh";"Bachhan";"amitabhb@gmail.com";"500000";"One-Time"
"9";"Eshan";"Kisan";"eshankisan@gmail.com";"5000";"One-Time"
"10";"Karan";"Acharya";"karan.acharya199@gmail.com";"30";"One-Time"
"11";"Zeel";"Desai";"zeel.desai129@gmail.com";"200";"One-Time"
"12";"Ramesh";"Kapoor";"ramesh.kapoor@yahoo.com";"50";"Monthly"
"13";"karuna";"Maheshwari";"karuna@gmail.com";"1000";"One-Time"
"14";"Priyanka";"Patra";"priyanka001@gmail.com";"10000";"One-Time"
"15";"Kalam";"Azad";"kalam234@gmail.com";"1000";"One-Time"
"16";"Nandan";"Baldha";"nandan222@gmail.com";"10000";"One-Time"
"17";"Kaushal";"Mehta";"kausal123@gmail.com";"200000";"One-Time"
"18";"Gargi";"Gokhale";"gargi.gokhale145@yahoo.com";"2000";"Monthly"
