"name";"gender";"email";"username";"password"
"Danish";"M";"danish128@gmail.com";"danish";"128"
"Dhyani";"F";"dhyani.dd@gmail.com";"dhyanidd";"3d"
"Eshan";"M";"eshan444@gmail.com";"eshan";"444"
"Gargi";"F";"gargi.gokhale145@yahoo.com";"gargi_gokhale";"145"
"Harish";"M";"harish679@gmail.com";"harish";"679"
"Kalam";"M";"kalam234@gmail.com";"kalam";"234"
"Kangana";"F";"kangana@yahoo.com";"kangana2000";"k2000"
"Karuna";"F";"karuna@gmail.com";"karuna";"300"
"Kausal";"M";"kausal123@gmail.com";"kausal";"123"
"Keshav";"M";"keshav180@rediffmail.com";"keshav";"180"
"Ketan";"M";"ketan.sharma209@gmail.com";"ketan209";"209"
"Kingshuk";"M";"kingshuk.dua@rediffmail.com";"kingshuk";"9999"
"Sachdeva";"M";"love.sachdeva@gmail.com";"love122";"122"
"Nandan";"M";"nandan222@gmail.com";"nandan";"222"
"Priyanka";"F";"priyanka001@gmail.com";"priyanka";"001"
"Rahul";"M";"rahul146@gmail.com";"rahul146";"146"
"Tanmay";"M";"tanmay333@gmail.com";"tanmay";"333"
